epoch,lr-AdamW,step,train_giou,train_loss,val_giou,val_loss
,0.0001,0,,,,
0,,499,,,-0.5620720386505127,46.31572723388672
0,,499,-0.03417275473475456,24.914331436157227,,
,0.0001,500,,,,
1,,999,,,-0.6030331254005432,45.495330810546875
1,,999,0.04350796341896057,21.34539031982422,,
,0.0001,1000,,,,
2,,1499,,,-0.5364769697189331,44.993988037109375
2,,1499,0.054451920092105865,21.010501861572266,,
,0.0001,1500,,,,
3,,1999,,,-0.5965768694877625,45.05912399291992
3,,1999,0.057231657207012177,20.87480926513672,,
,0.0001,2000,,,,
4,,2499,,,-0.6066357493400574,43.80901336669922
4,,2499,0.06048620492219925,20.73092269897461,,
,0.0001,2500,,,,
5,,2999,,,-0.5588266849517822,42.689910888671875
5,,2999,0.07068716734647751,20.532825469970703,,
