epoch,lr-AdamW,step,train_giou,train_loss,val_giou,val_loss
,0.0001,0,,,,
0,,499,,,-0.5447830557823181,41.81739807128906
0,,499,0.21307189762592316,20.522747039794922,,
,0.0001,500,,,,
1,,999,,,-0.5105159282684326,38.826942443847656
1,,999,0.309480756521225,17.202024459838867,,
,0.0001,1000,,,,
2,,1499,,,-0.48260292410850525,37.675025939941406
2,,1499,0.3290826678276062,16.759090423583984,,
,0.0001,1500,,,,
3,,1999,,,-0.41854891180992126,36.46056365966797
3,,1999,0.3777734339237213,16.001911163330078,,
