epoch,lr-AdamW,step,train_giou,train_loss,val_giou,val_loss
,0.0001,0,,,,
0,,499,,,-0.615691602230072,46.83954620361328
0,,499,-0.029455237090587616,24.48267364501953,,
,0.0001,500,,,,
1,,999,,,-0.6244136691093445,45.00933074951172
1,,999,0.04449034482240677,21.12057876586914,,
,0.0001,1000,,,,
2,,1499,,,-0.5702396035194397,44.21010971069336
2,,1499,0.05699434131383896,20.706687927246094,,
,0.0001,1500,,,,
3,,1999,,,-0.5196955800056458,42.729034423828125
3,,1999,0.07288382202386856,20.351076126098633,,
,0.0001,2000,,,,
4,,2499,,,-0.45099377632141113,41.439002990722656
4,,2499,0.1256658434867859,19.610055923461914,,
,0.0001,2500,,,,
5,,2999,,,-0.4077812135219574,39.001953125
5,,2999,0.1739509254693985,18.936634063720703,,
