epoch,lr-AdamW,step,train_giou,train_loss,val_giou,val_loss
,0.0001,0,,,,
0,,499,,,-0.6371998190879822,45.5933837890625
0,,499,-0.03033454529941082,24.554433822631836,,
,0.0001,500,,,,
1,,999,,,-0.49531519412994385,45.812461853027344
1,,999,0.04965779185295105,20.947906494140625,,
,0.0001,1000,,,,
2,,1499,,,-0.394441694021225,44.58882141113281
2,,1499,0.06262214481830597,20.527040481567383,,
